,Entry,Gene Symbol,Role in Cancer
196,Q13029,PRDM2,TSG
197,Q9NUX5,POT1,TSG
198,Q13485,SMAD4,TSG
199,Q92956,TNFRSF14,TSG
200,Q9ULT6,ZNRF3,TSG
201,Q9UJQ4,SALL4,OG
202,Q8N3U4,STAG2,TSG
203,P60484,PTEN,TSG
204,Q9NRR4,DROSHA,TSG
205,Q68DV7,RNF43,TSG
206,Q14202,ZMYM3,TSG
207,P27635,RPL10,TSG
208,Q01130,SRSF2,OG
209,Q9UMX1,SUFU,TSG
210,P17612,PRKACA,OG
211,O95071,UBR5,OG
212,Q01831,XPC,TSG
213,Q96GM5,SMARCD1,TSG
214,O00743,PPP6C,TSG
215,O75626,PRDM1,TSG
216,O75943,RAD17,TSG
217,P98175,RBM10,TSG
218,P01111,NRAS,OG
219,P63000,RAC1,OG
220,O14522,PTPRT,TSG
221,Q76L83,ASXL2,TSG
222,Q99062,CSF3R,OG
223,Q13191,CBLB,TSG
224,Q9NS75,CYSLTR2,OG
225,P27797,CALR,OG
226,Q14839,CHD4,OG
227,Q8NFD5,ARID1B,TSG
228,Q13535,ATR,TSG
229,P49902,NT5C2,OG
230,P49711,CTCF,TSG
231,P32248,CCR7,OG
232,O15169,AXIN1,TSG
233,Q9HB09,BCL2L12,OG
234,Q68CP9,ARID2,TSG
235,Q9Y6N8,CDH10,TSG
236,P38398,BRCA1,TSG
237,Q9Y2T1,AXIN2,TSG
238,Q01668,CACNA1D,OG
239,Q16720,ATP2B3,TSG
240,Q9Y6K1,DNMT3A,TSG
241,P30153,PPP2R1A,TSG
242,P11912,CD79A,OG
243,O60566,BUB1B,TSG
244,Q5JTC6,AMER1,TSG
245,Q13315,ATM,TSG
246,P24863,CCNC,TSG
247,Q8N726,CDKN2A,TSG
248,P42771,CDKN2A,TSG
249,P12830,CDH1,TSG
250,Q6P1J9,CDC73,TSG
251,P18074,ERCC2,TSG
252,P07333,CSF1R,OG
253,P46527,CDKN1B,TSG
254,O96017,CHEK2,TSG
255,O15360,FANCA,TSG
256,Q13618,CUL3,TSG
257,P51587,BRCA2,TSG
258,O15013,ARHGEF10,TSG
259,P54098,POLG,TSG
260,Q96AE4,FUBP1,OG
261,Q14517,FAT1,TSG
262,O00571,DDX3X,TSG
263,Q07812,BAX,TSG
264,P55317,FOXA1,OG
265,Q9NYV4,CDK12,TSG
266,Q8NE35,CPEB3,TSG
267,P25054,APC,TSG
268,P42773,CDKN2C,TSG
269,P10398,ARAF,OG
270,Q9Y243,AKT3,OG
271,P50148,GNAQ,OG
272,Q92560,BAP1,TSG
273,P24864,CCNE1,OG
274,P10275,AR,OG
275,Q6N021,TET2,TSG
276,P49815,TSC2,TSG
277,Q15696,ZRSR2,TSG
278,P40337,VHL,TSG
279,Q92574,TSC1,TSG
280,Q9H0E7,USP44,TSG
281,P25445,FAS,TSG
282,P42768,WAS,OG
283,Q9NPI8,FANCF,TSG
